sample_id,frequency_hz,candidate,candidate_method,config,solver,sensor_count,measurement_channels,equivalent_source_points,unknown_count,channel_unknown_ratio,l2_lambda,group_alpha_frac,effective_rank,rank_ratio,stable_condition,solver_iterations,solver_converged,solver_rel_change,lambda_max,group_lambda,lipschitz,relative_residual,active_sources,active_fraction,peak_source_norm,peak_x_m,peak_y_m,peak_z_m,peak_center_distance_m,center_energy_share,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.01,135,1.0,185.92676953422503,500,0,5.717464445624184e-05,0.20511018093467326,0.0020511018093467325,7.19725364004572,0.5875337344487145,45,1.0,0.32876229725199724,0.0,0.0,4.25,0.25,0.03644120087879486,0.3087906860272218,0.7954111290648549,20.10953847744929,19.860270905511253
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.003,135,1.0,185.92676953422503,500,0,0.00031336676190048545,0.20511018093467326,0.0006153305428040198,7.19725364004572,0.557278189909641,45,1.0,0.4099762560752933,0.0,0.0,4.25,0.25,0.01667930505866721,0.30988040797923433,0.8154922709408982,69.95112855114229,20.432154275163974
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.001,135,1.0,185.92676953422503,500,0,0.0003961144506069357,0.20511018093467326,0.00020511018093467327,7.19725364004572,0.5518211272757376,45,1.0,0.4521158071645908,0.0,0.0,4.25,0.25,0.01444327813816939,0.30427749541988675,0.819347043627305,69.95112855114229,20.721809065239626
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.0003,135,1.0,185.92676953422503,500,0,0.0003943887636791663,0.20511018093467326,6.153305428040197e-05,7.19725364004572,0.5510700083603047,45,1.0,0.4951294200252752,0.0,0.0,4.25,0.25,0.016067216518917966,0.2998503394511901,0.8195303165391218,69.95112855114229,20.812284049025465
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.0001,135,1.0,185.92676953422503,500,0,0.0007221953385402895,0.20511018093467326,2.0511018093467328e-05,7.19725364004572,0.5509941152390747,45,1.0,0.5115050628586474,0.0,0.0,4.25,0.25,0.01788038582325498,0.2983390664552041,0.8194919763307119,69.95112855114229,20.83613057982102
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,tikhonov,162,324,27,81,4.0,0.0001,0.0,81,1.0,1900.925247575812,0,1,0.0,0.00033822896265223504,0.0,,0.5600890028719645,27,1.0,0.011800894307208876,0.0,0.1,4.1,0.14142135623730925,0.0684558392313949,0.3459378029670175,0.7521781623973831,39.9745936890198,19.261909758175925
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,0.0001,0.3,81,1.0,1900.925247575812,301,1,2.7864796612331503e-07,0.00033822896265223504,0.00010146868879567051,9.064637395252129,0.9099500290827618,2,0.07407407407407407,0.0007581354746995526,0.0,0.0,4.1,0.09999999999999964,0.4712226072154642,0.556745612974187,0.03308229313743931,0.0,8.6727298698282
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,0.0001,0.1,81,1.0,1900.925247575812,500,0,0.00010191737960122443,0.00033822896265223504,3.3822896265223505e-05,9.064637395252129,0.7893008538457426,23,0.8518518518518519,0.0017400679146949679,0.0,0.0,4.1,0.09999999999999964,0.21237328507763117,0.3752319567217171,0.4357196930969288,55.52664529916034,12.921722975112129
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,0.0001,0.03,81,1.0,1900.925247575812,500,0,0.0003929774843344705,0.00033822896265223504,1.0146868879567051e-05,9.064637395252129,0.7022563763029523,19,0.7037037037037037,0.004411216921871973,0.0,0.0,4.0,0.0,0.23550786865201012,0.2592976944284845,0.615427110789693,54.0508731810745,15.197569071310408
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,0.0001,0.01,81,1.0,1900.925247575812,500,0,0.0011204554435676009,0.00033822896265223504,3.3822896265223505e-06,9.064637395252129,0.6523710489779181,27,1.0,0.005099766536975435,0.0,0.0,4.0,0.0,0.13564581281528731,0.2519474851025335,0.7031235630470277,49.970421136125076,17.136888193321635
