sensor_id,sample_surface,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,e_theta_x,e_theta_y,e_theta_z,e_phi_x,e_phi_y,e_phi_z,intended_monitor_kind,coordinate_unit,angle_unit,field_components_required
43,upper_hemisphere_2pi,-4.365553153279065,3.663134040801277,11.68432260188917,26.000000000000004,140.0,13.0,-0.6885161846758981,0.5777336766211344,-0.4383711467890774,-0.6427876096865395,-0.7660444431189779,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
44,upper_hemisphere_2pi,-5.35514371344098,1.9491129119102952,11.68432260188917,26.000000000000004,160.0,13.0,-0.8445901329136352,0.3074056685354989,-0.4383711467890774,-0.3420201433256689,-0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
45,upper_hemisphere_2pi,-5.698824908258007,6.979047682799377e-16,11.68432260188917,26.000000000000004,180.0,13.0,-0.8987940462991669,1.1007052518929728e-16,-0.4383711467890774,-1.2246467991473532e-16,-1.0,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
46,upper_hemisphere_2pi,-5.355143713440981,-1.9491129119102943,11.68432260188917,26.000000000000004,200.0,13.0,-0.8445901329136353,-0.3074056685354987,-0.4383711467890774,0.3420201433256686,-0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
47,upper_hemisphere_2pi,-4.365553153279065,-3.663134040801276,11.68432260188917,26.000000000000004,220.0,13.0,-0.6885161846758983,-0.5777336766211342,-0.4383711467890774,0.6427876096865393,-0.766044443118978,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
48,upper_hemisphere_2pi,-2.849412454129006,-4.935327142270956,11.68432260188917,26.000000000000004,240.0,13.0,-0.4493970231495838,-0.7783784768652854,-0.4383711467890774,0.8660254037844385,-0.5000000000000004,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
49,upper_hemisphere_2pi,-0.9895905601619144,-5.61224695271157,11.68432260188917,26.000000000000004,260.0,13.0,-0.1560739482377369,-0.8851393451566331,-0.4383711467890774,0.984807753012208,-0.1736481776669303,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
50,upper_hemisphere_2pi,0.9895905601619122,-5.612246952711571,11.68432260188917,26.000000000000004,280.0,13.0,0.1560739482377366,-0.8851393451566332,-0.4383711467890774,0.984807753012208,0.1736481776669299,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
51,upper_hemisphere_2pi,2.849412454129004,-4.935327142270957,11.68432260188917,26.000000000000004,300.0,13.0,0.4493970231495836,-0.7783784768652854,-0.4383711467890774,0.8660254037844386,0.5000000000000001,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
52,upper_hemisphere_2pi,4.365553153279065,-3.663134040801277,11.68432260188917,26.000000000000004,320.0,13.0,0.688516184675898,-0.5777336766211345,-0.4383711467890774,0.6427876096865396,0.7660444431189778,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
53,upper_hemisphere_2pi,5.355143713440978,-1.9491129119102983,11.68432260188917,26.000000000000004,339.99999999999994,13.0,0.8445901329136349,-0.3074056685354994,-0.4383711467890774,0.3420201433256694,0.939692620785908,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
54,upper_hemisphere_2pi,7.641208279802152,0.0,10.517220926874316,36.00000000000001,0.0,13.0,0.8090169943749473,0.0,-0.5877852522924732,-0.0,1.0,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
55,upper_hemisphere_2pi,7.180387034418268,2.6134471510392188,10.517220926874316,36.00000000000001,20.0,13.0,0.7602272997045328,0.2767001083690212,-0.5877852522924732,-0.3420201433256687,0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
56,upper_hemisphere_2pi,5.853505141457164,4.911674005291018,10.517220926874316,36.00000000000001,40.0,13.0,0.6197429729297459,0.5200261000100608,-0.5877852522924732,-0.6427876096865393,0.766044443118978,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
57,upper_hemisphere_2pi,3.820604139901077,6.617480485916654,10.517220926874316,36.00000000000001,59.99999999999999,13.0,0.4045084971874738,0.7006292692220366,-0.5877852522924732,-0.8660254037844386,0.5000000000000001,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
58,upper_hemisphere_2pi,1.3268818929611037,7.525121156330236,10.517220926874316,36.00000000000001,80.0,13.0,0.1404843267747869,0.796726208379082,-0.5877852522924732,-0.984807753012208,0.1736481776669304,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
59,upper_hemisphere_2pi,-1.326881892961103,7.525121156330236,10.517220926874316,36.00000000000001,100.0,13.0,-0.1404843267747868,0.796726208379082,-0.5877852522924732,-0.984807753012208,-0.1736481776669303,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
60,upper_hemisphere_2pi,-3.8206041399010746,6.617480485916656,10.517220926874316,36.00000000000001,120.0,13.0,-0.4045084971874735,0.7006292692220367,-0.5877852522924732,-0.8660254037844387,-0.4999999999999998,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
61,upper_hemisphere_2pi,-5.853505141457163,4.91167400529102,10.517220926874316,36.00000000000001,140.0,13.0,-0.6197429729297458,0.520026100010061,-0.5877852522924732,-0.6427876096865395,-0.7660444431189779,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
62,upper_hemisphere_2pi,-7.180387034418266,2.61344715103922,10.517220926874316,36.00000000000001,160.0,13.0,-0.7602272997045327,0.2767001083690213,-0.5877852522924732,-0.3420201433256689,-0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
63,upper_hemisphere_2pi,-7.641208279802152,9.357781261477957e-16,10.517220926874316,36.00000000000001,180.0,13.0,-0.8090169943749473,9.907600726170916e-17,-0.5877852522924732,-1.2246467991473532e-16,-1.0,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
64,upper_hemisphere_2pi,-7.180387034418268,-2.6134471510392183,10.517220926874316,36.00000000000001,200.0,13.0,-0.7602272997045328,-0.2767001083690211,-0.5877852522924732,0.3420201433256686,-0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
65,upper_hemisphere_2pi,-5.853505141457164,-4.911674005291018,10.517220926874316,36.00000000000001,220.0,13.0,-0.6197429729297459,-0.5200261000100608,-0.5877852522924732,0.6427876096865393,-0.766044443118978,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
66,upper_hemisphere_2pi,-3.82060413990108,-6.617480485916653,10.517220926874316,36.00000000000001,240.0,13.0,-0.404508497187474,-0.7006292692220366,-0.5877852522924732,0.8660254037844385,-0.5000000000000004,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
67,upper_hemisphere_2pi,-1.3268818929611033,-7.525121156330236,10.517220926874316,36.00000000000001,260.0,13.0,-0.1404843267747868,-0.796726208379082,-0.5877852522924732,0.984807753012208,-0.1736481776669303,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
68,upper_hemisphere_2pi,1.3268818929611006,-7.525121156330238,10.517220926874316,36.00000000000001,280.0,13.0,0.1404843267747865,-0.7967262083790821,-0.5877852522924732,0.984807753012208,0.1736481776669299,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
69,upper_hemisphere_2pi,3.820604139901077,-6.617480485916654,10.517220926874316,36.00000000000001,300.0,13.0,0.4045084971874738,-0.7006292692220366,-0.5877852522924732,0.8660254037844386,0.5000000000000001,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
70,upper_hemisphere_2pi,5.853505141457162,-4.91167400529102,10.517220926874316,36.00000000000001,320.0,13.0,0.6197429729297457,-0.520026100010061,-0.5877852522924732,0.6427876096865396,0.7660444431189778,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
71,upper_hemisphere_2pi,7.180387034418265,-2.613447151039224,10.517220926874316,36.00000000000001,339.99999999999994,13.0,0.7602272997045325,-0.2767001083690218,-0.5877852522924732,0.3420201433256694,0.939692620785908,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
